feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Entomortierella	pH	acidic	0.0403858261076272	0.00360765047515139	23	14	2.59362365978159e-10	1.44464837849835e-07
Leohumicola	pH	acidic	-0.0977139277195736	0.00976214872863803	23	18	1.90557254423906e-09	5.30701953570579e-07
Mortierella	pH	acidic	0.231112656013584	0.0264643024990121	23	23	1.96408544202215e-08	3.6466519706878e-06
Meliniomyces	pH	acidic	0.127209877428916	0.0165942729557621	23	22	1.62071309576342e-07	2.25684298585056e-05
Botryobasidium	pH	acidic	0.0155220630586348	0.00208383671168275	23	11	2.53657913957363e-07	2.82574916148503e-05
Scleropezicula	pH	acidic	0.0165147100701613	0.00236042820900733	23	11	6.58220155274267e-07	6.11047710812945e-05
Archaeorhizomyces	pH	acidic	0.191607980955495	0.0279887731281738	23	21	9.0967486673781e-07	6.96472999543478e-05
GS21_gen_Incertae_sedis	pH	acidic	0.0273627423333198	0.00408451497780241	23	15	1.25040035824682e-06	6.96472999543478e-05
Knufia	pH	acidic	-0.158846716397377	0.023490839150201	23	21	1.09056226337873e-06	6.96472999543478e-05
Leotiomycetes_gen_Incertae_sedis	pH	acidic	0.10313492713496	0.0153395028431758	23	20	1.1858888514125e-06	6.96472999543478e-05
Acarosporales_gen_Incertae_sedis	pH	acidic	0.0125883379691328	0.00190955962681431	23	13	1.57918277855877e-06	7.99640734233848e-05
Exophiala	pH	acidic	-0.101242277161983	0.0157504358026545	23	23	2.2678160281005e-06	0.000105264460637665
Lecanicillium	pH	acidic	0.0186913980761057	0.00294575159942563	23	13	2.72425464612459e-06	0.000108386416992243
Podila	pH	acidic	0.129421475858766	0.0203667150765409	23	23	2.6682214079654e-06	0.000108386416992243
Chaetothyriales_gen_Incertae_sedis	pH	acidic	0.0693909636338387	0.0110672471556351	23	17	3.22145614531779e-06	0.000112901646928854
Lobulomycetales_gen_Incertae_sedis	pH	acidic	-0.0141958289740214	0.00226519518518574	23	11	3.24313527982346e-06	0.000112901646928854
Cortinarius	pH	acidic	0.190144334597711	0.030556872724147	23	23	3.58065134120791e-06	0.00011731898806193
Lachnellula	pH	acidic	0.109621924513553	0.0177496866885384	23	23	3.97512548985101e-06	0.000120471043690745
Leucosporidium	pH	acidic	0.0570783790125624	0.00926418539206443	23	20	4.10942518873276e-06	0.000120471043690745
Piloderma	pH	acidic	0.213422311199893	0.0355292655220593	23	23	5.81829979379416e-06	0.000162039649257167
Hyaloscyphaceae_gen_Incertae_sedis	pH	acidic	0.0281705376699878	0.00481317774208114	23	15	8.25894862399868e-06	0.00021905878016987
Helotiales_gen_Incertae_sedis	pH	acidic	0.0705872644175674	0.0121241735654248	23	19	8.85989319155257e-06	0.000224316386713399
Rhizidium	pH	acidic	0.0825412852142672	0.0143016637724756	23	20	9.94661057500404e-06	0.000240880960446837
